"","Stem","wk1","wk2","wk3","wk4","wk5","wk6","wk7","wk8","wk9","wk10","wk11","wk12","wk13","wk14","wk15","wk16","wk17","wk18","wk19","wk20","wk21","wk22","wk23","wk24","wk25","wk26","wk27","wk28","wk29","wk30","wk31","wk32","wk33","wk34","wk35","wk36","wk37","wk38","wk39","wk40","wk41","wk42","wk43","wk44","wk45","wk46","wk47","wk48","wk49","wk50","wk51","wk52"
"OPRANA","OPRANA",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPT","OPT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
"OPTIC","OPTIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OPTIM","OPTIM",0,0,0,0,0,2,0,0,0,2,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,2,0,3
"OPTIMIST","OPTIMIST",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,1,1
"OPTIMUM","OPTIMUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPTION","OPTION",0,0,0,1,1,1,0,1,1,0,0,0,4,0,2,0,0,1,0,0,1,2,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0
"ORACL","ORACL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ORAL","ORAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ORANGUTAN","ORANGUTAN",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORBIT","ORBIT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORCHESTR","ORCHESTR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ORDEAL","ORDEAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORDER","ORDER",4,2,0,8,5,3,0,0,2,5,4,6,11,4,16,8,7,3,2,7,2,3,3,5,5,18,5,13,9,4,4,2,13,1,4,6,4,4,5,0,10,18,16,6,1,8,1,1,8,3,3,10
"ORDINARI","ORDINARI",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OREGON","OREGON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ORE","ORE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORGAN","ORGAN",7,1,0,9,2,1,3,2,2,4,1,5,10,4,9,6,2,5,1,6,4,10,3,5,4,5,6,5,14,9,9,10,5,1,3,2,4,8,6,0,9,16,7,4,1,1,5,0,7,2,4,6
"ORGAN AND TABARÉ","ORGAN AND TABARÉ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ORGANIZ","ORGANIZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ORIENT","ORIENT",0,2,0,1,1,1,0,0,0,2,1,2,0,0,2,3,1,2,0,0,0,3,0,2,1,1,0,4,1,0,1,0,3,0,0,3,0,0,0,0,0,2,2,0,2,0,0,0,2,1,0,0
"ORIGIN","ORIGIN",0,0,0,1,2,0,1,0,0,0,4,3,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,2,1
"ORLIN","ORLIN",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSAKA","OSAKA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OSNO","OSNO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OSSIFI","OSSIFI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTENS","OSTENS",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OSTERLOH","OSTERLOH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OSTRICH","OSTRICH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTHER","OTHER",0,0,0,4,4,0,0,0,1,3,3,2,1,0,2,0,3,2,0,0,3,4,0,0,4,3,3,5,4,0,1,3,1,1,1,2,0,2,2,0,2,1,4,0,2,1,2,2,1,1,1,3
"OTHERWIS","OTHERWIS",0,0,1,0,0,0,1,0,1,0,2,0,0,0,1,1,0,1,0,2,1,1,2,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1
"OTTAWA","OTTAWA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0
"OUTBAL","OUTBAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OUTBOUND","OUTBOUND",0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
"OUTBREAK","OUTBREAK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
